# The Sustainable Society Index 2016 by the Sustainable Society Foundation
#
# See Geurt Van de Kerk and Arthur R. Manuel, A comprehensive index for
# a sustainable society: The SSI -- The Sustainable Society Index,
# Ecological Economics 66(2-3), 2008, pp. 228-242,
# doi:10.1016/j.ecolecon.2008.01.029
# and
# http://www.ssfindex.com/ssi/calculation-methodology/
#
# This CSV file lists the 21 indicators, each mapped onto the 0-10 scale.
"Country","SufficientFood","SufficientWater","SafeSanitation","Education","HealthyLife","GenderEquality","IncomeDistribution","PopulationGrowth","GoodGovernance","Biodiversity","RenewableWaterResources","Consumption","EnergyUse","EnergySavings","GreenhouseGases","RenewableEnergy","OrganicFarming","GenuineSavings","GDP","Employment","PublicDebt"
"Guatemala",8.44,9.27,6.37,6.893016,7.03333333333333,6.67,1,3.78035169666777,3.80049634973208,5.5,9.7401,6.043681418333,8.35,1,8.9919,6.29519205505135,1.65956509145026,6.55029566833336,4.12682809910275,7.48263560442568,9.24387816901861
"Guinea",8.36,7.67,2,5.311495,5.28333333333333,6.2,6.55985127547743,2.17838153809314,2.80797366301219,6.7610695100114,9.97552,5.83170282430807,9.322,5.36337209302325,9.8466,8.34119150020235,1.27213150281566,1,1,8.35270215394151,7.04576090639855
"Guinea-Bissau",7.93,7.74,2.07,5.997522,5.25,6.2,1.19231640806819,2.87924991462893,2.50802232821782,5.5,9.94427,5.17625356945304,9.322,5.36337209302325,9.8466,8.34119150020235,1.25083990892696,1,1.06427175914074,5.01576064282653,7.01502667685991
"Guyana",8.94,9.75,8.36,6.853814,6.5,7.02,1,7.34314518366381,4.303797463576,5.39536550673102,9.94668,3.9524521928997,9.236,1,9.1815,3.02944461774306,1,1.60473488210927,4.08377721529443,3.29558948503513,6.40717852743794
"Haiti",4.66,5.75,2.74,5.84,5.9,7.1,1,5.3731106729207,2.67650053898493,2.62068214804064,9.867,8.47597831223073,9.214,4.14473684210526,9.7388,7.79841300380435,1.34518911333966,9.06701249343965,1.19500386252136,5.06616982702638,8.59985295235406
"Honduras",8.78,9.06,8.26,6.892465,7.48333333333333,6.88,1,5.18351130558359,3.71311605970065,5.44769082134239,9.8256,6.38627207673093,8.656,2.36842105263158,8.9014,4.70035637112122,2.59842193594987,8.5782598678582,2.86828009062904,6.77056868041247,7.01553566989741
"Hungary",10,10,9.8,9.155427,7.9,6.72,7.04452447490607,8.54115459143681,6.05714923640092,6.55958566983864,9.5143,6.61734362398777,5.37,7.47177890229661,5.9171,1,5.37609053062401,8.62737112414114,8.38723047095358,4.58406002561823,2.03496615312832
"Iceland",10,10,9.88,9.958951,8.78333333333334,8.81,8.58599834389284,6.30423718962286,7.95885749657949,7.41882509650873,9.8229,1,1,3.66079295154185,3.7497,8.90715127320204,2.03735624700545,5.876717066423,9.65964329706251,6.06530659712633,5.50618468797273
"India",8.48,9.41,3.95,6.90423,6.6,6.64,6.69178428294156,5.61651546209954,4.41771408667167,5.45847406321157,6.612,8.17269068505876,8.726,1.71403197158081,8.4408,2.53035687335976,1.8573735649861,9.17999868212558,3.58796474202328,6.97676332724591,3.26902824751357
"Indonesia",9.24,8.68,6.06,7.70917,7.01666666666667,6.81,6.77944077375583,5.5604255409456,4.57528452761471,3.80167815348013,9.4388,6.87581607323335,8.228,4.77220956719818,8.2844,3.44322616440792,1.45712975815763,9.40262377201377,5.4053972021049,5.3794444785515,9.08257316172795
"Iran",10,9.62,8.99,8.753387,7.75,5.8,5.65327043529252,5.55538990904402,3.01442119479179,5.03458801157471,3.215,6.43355185743387,3.932,2.42820792439113,2.8837,1,1.05364193545395,8.62819089165625,6.97371256360627,2.78037295150052,9.49552336928274
"Iraq",7.72,8.66,8.56,6.297747,6.66666666666667,6.2,8.23639998856587,1,2.07930572827657,3.70815378881121,2.656,8.25564225535547,7.158,1,5.9489,1,1.00411733370407,3.45823103801439,6.63896008287717,1.93980049690643,1
"Ireland",10,9.79,9.05,10,8.58333333333333,8.07,6.78612560051665,7.38188867597053,8.06203663349152,3.69326918758165,9.8544,2.1780925481558,4.466,8.05361675126904,2.6623,1,3.42064198587649,9.04250410223373,9.87499738778619,3.13486168924058,1
"Israel",10,10,10,9.406389,8.8,7.12,2.46524017051458,4.15113213050098,6.34369198481242,8.10351201478743,2.028,4.5817347574174,4.472,7.29214590864279,2.1221,1,3.44937481026176,8.99189934585811,9.02666819390531,5.43350874256297,3.36637998653421
"Italy",10,10,9.95,9.112246,8.8,7.26,3.98602074533756,6.92342466080502,5.91352055221796,8.98461616917114,7.19,3.87511377192983,5.172,9.21831955922865,4.7411,1.80634619635252,9.40162862202057,6.93214158194897,9.14861698901904,2.8650479686019,1
"Jamaica",9.19,9.38,8.18,7.935146,7.83333333333333,7.03,2.76395538108474,7.57480708443863,5.07294128090143,7.50207756232687,9.25,7.31946681593933,7.936,4.04426559356137,7.3637,1.90286551916773,1.01341493205352,8.62569682649999,4.52565418425336,2.67135307061053,1
"Japan",10,10,10,8.966264,9.15,6.7,6.22349323002976,8.28810979523906,7.78326296806335,7.77611597406784,8.111,5.5581944465813,3.05,7.69003595274782,1,1,1.55502592433069,6.89213370053601,9.2934192214225,6.90734327343677,1
"Jordan",10,9.69,9.86,7.64046,7.5,5.93,7.07758621209815,1.63330773006287,4.84046321113904,4.10887810111204,1,6.65242553237047,7.524,3.65957446808511,6.3515,1,1.50565891487256,9.0195376078815,5.62151478323121,3.29558948503513,1
"Kazakhstan",10,9.29,9.75,9.110733,7.21666666666667,7.19,9.40232675728917,5.17720436940049,4.10023197128127,4.10132125791755,8.157,6.80622634382003,1.132,3.82526564344746,1,1,1.30885404730435,6.71684878663687,8.02266528919955,6.63650256465381,9.3290427479669
"Kenya",7.88,6.31,3.01,6.721864,5.93333333333333,7.19,1.61902620272393,2.31882405786398,3.84666672348976,8.18407597427698,9.852,7.21419626354591,8.946,2.77892561983471,9.7247,8.28300966874028,1.04017031797106,7.13361407127336,2.05064247252392,3.98519048685662,5.71716232282495
"Korea, North",5.84,9.97,8.19,8.051637,7.33333333333333,6.7,6.44036421083141,7.04796737875045,1.67974980672201,1.53948384685657,8.878,8.36860398636666,9.048,10,8.4895,1.85939976799911,1.54803387582603,9.50905552153847,1,6.63650256465381,8.94847458623715
"Korea, South",10,9.76,10,9.726967,8.86666666666667,6.51,7.53268656454657,7.25194598122344,6.54175453384717,5.69280064653487,5.811,4.9374070944279,1,3.70059288537549,1,1,2.96864159319856,9.16942680352625,9.23745025122936,7.04688089718713,8.4229656953665
"Kuwait",10,9.9,10,7.524164,7.61666666666667,6.46,8.60707976425058,1,4.66499166190624,7.77356902356902,1,5.8603363719666,1,8.47844745374786,1,1,1.54803387582603,9.1670780745438,10,7.40818220681718,9.45247477091315
"Kyrgyz Republic",9.4,8.92,9.32,7.941894,7.31666666666667,6.93,8.81948256719409,4.09272151000911,3.4599477549394,6.99202294056309,6.737,6.82717470527968,8.698,1,8.5666,3.02135891224629,1.14564701731435,2.25655269735248,2.1175760538065,4.44858049252953,2.34460256906885
"Laos",8.15,7.55,7.05,6.298922,6.31666666666667,7.13,5.62938598759489,4.72591860006904,3.70095706979434,9.78180350953206,9.853,6.22837598565009,9.236,1,9.1815,3.02944461774306,1.58217039569883,2.81884884088625,3.17389467542148,8.69358237471518,3.72991932311691
"Latvia",10,9.93,8.74,9.335196,7.85,7.52,4.64877320465188,9.60534521003179,6.576555788517,8.32789627096414,9.93246,1,5.638,4.6159217877095,6.6215,3.7170642219591,9.45309196902967,5.14406655241262,8.24075106461968,3.67879441171442,8.63097108365486
"Lebanon",10,9.9,8.07,7.006153,7.61666666666667,5.98,5.94520547970194,1,3.4815612634023,4.76933924486804,7.566,5.59457002805713,6.704,1.99184228416044,5.0806,1,1.34604251962562,1.84262927468457,7.08105712718335,5.27292419014396,1
"Lesotho",8.88,8.16,3.02,6.278969,4.43333333333333,7.06,1,5.65555032152017,4.60750048110883,7.89328063241107,9.8551,6.16797147484537,9.322,5.36337209302325,9.8466,8.34119150020235,1.05368915583004,9.19676187428922,1.91720668811413,1,4.30897527000109
"Liberia",6.81,7.47,1.66,6.391638,5.45,6.2,4.75365695413495,2.77478639732644,3.41633274157842,3.62923682412791,9.9436,6.42774116508916,9.322,5.36337209302325,9.8466,8.34119150020235,1,1,1,6.83861412473262,7.56206844130429
"Libya",10,9.1,9.66,9.334686,7.28333333333333,6,6.44036421083141,8.07019964236061,1.52092583974202,2.8342521340805,1,5.46094542192817,4.29,8.48206210431113,2.3472,1,1.27213150281566,9.53633332317317,6.16500204177386,1.46606950945126,1
"Lithuania",10,9.66,9.2,9.482037,7.68333333333333,7.4,4.95627159007136,9.58569164597612,6.77420284350713,7.56867441400299,9.7443,1,5.22,3.74780316344464,6.4792,1.82486861045999,7.81957512196434,9.22251384552955,8.65081252399712,3.23033250260881,7.93013135605753
"Luxembourg",10,10,9.76,7.731008,8.63333333333333,7.38,5.92643782393745,3.05228209052001,8.40247722466787,7.75,9.8769,1,1,9.42733397497594,1,1,6.18260325718789,8.78659064328008,10,5.43350874256297,9.34653921690303
"Macedonia",10,9.94,9.09,7.036016,7.91666666666667,7.01,3.03520024429641,7.73398280942471,5.2657316327095,6.60013869716062,9.1387,6.00871462619757,7.472,7.36389684813753,6.4199,1.10133418224865,1.63731010689852,8.86879627335068,6.23653077419051,1,8.33007925459473
"Madagascar",6.7,5.06,1.19,6.600369,6.15,6.98,4.33756779518466,1.95847105116806,3.46177323659261,5.38321172718712,9.5104,6.92423034544617,9.322,5.36337209302325,9.8466,8.34119150020235,1.16518352392803,3.09104174430972,1.02641964689583,6.97676332724591,8.25054151419015
"Malawi",7.93,8.84,4.06,6.912327,5.2,7.01,2.78178276748545,1.19913595586793,4.18511179586252,5.98398387781077,9.2147,7.53926128368144,9.322,5.36337209302325,9.8466,8.34119150020235,1.00413078182444,6.10678894113862,1,4.72366552741015,2.25629859374856
"Malaysia",10,9.82,9.6,7.286838,7.75,6.55,2.17279349473427,5.08035146966398,6.03476214408875,10,9.8069,4.63814831711287,4,1.26436781609195,2.6254,1,1.01722301652711,8.7443713609942,8.40191339112317,8.18730753077982,5.56697098710618
"Mali",10,7.5,2.42,5.108143,5.18333333333333,5.99,7.23616317043693,1.5150085865146,3.34002229074637,4.55259713651153,9.5678,5.21952757825686,9.322,5.36337209302325,9.8466,8.34119150020235,1.06500974586009,7.30016053049524,1.46594210140407,4.44858049252953,8.59276193912129
"Malta",10,10,10,7.903114,8.61666666666667,6.68,8.18730753077982,6.34410610349708,7.16141748428345,7.75,5.564,4.38197768079497,6.374,7.4502487562189,4.5116,1,1.70228124960093,8.58819925023878,9.22907483735203,5.5432727944803,3.97886605372092
"Mauritania",9.44,5.79,3.97,4.975879,5.85,6.13,5.05341760465911,2.74897398569771,3.34096191326777,2.72880081498011,8.818,3.36151588273612,9.322,5.36337209302325,9.8466,8.34119150020235,1.27213150281566,1,2.64356078683027,1,1.01830607829967
"Mauritius",10,9.99,9.32,8.287203,7.8,6.46,5.91853202086983,7.64262629217763,6.71630006035169,4.91239778325123,7.365,5.11152439239127,7.778,3.64800759013283,6.8609,1.54577110522823,1.01284332095642,6.56490796926878,7.45196450353582,4.63013077142501,5.01466792715154
"Mexico",10,9.61,8.51,7.776016,7.9,6.99,1.91946125911245,5.40074900066828,4.5407479343315,6.81510616054058,8.279,6.17597330924267,6.86,4.34640522875817,6.4003,1,4.97591373001441,8.19857849340213,6.9772114833575,6.12626388341956,5.76981325151086
