# apollo 2025-06-24 21:10
#
# GNU/Linux 6.13.0-1-default #1 SMP PREEMPT_DYNAMIC Mon Jan 20 07:26:08 UTC 2025 (1513344) x86_64 openSUSE Tumbleweed
# Intel Core i7-1355U (AVX2-VNNI) (12 threads, 2 performance cores, 8 efficient cores), 12MB cache
# 32 GB RAM
# gcc 14.2.1
# Python 3.11.11 [gcc] OpenBLAS 0.3.29
# R version 4.4.2 (2024-10-31) Rblas
#
# Python modules (via reticulate):
# numba           0.61.2
# cython          3.1.2
# numpy           2.2.6
# scipy           1.15.3
# sklearn         1.7.0
# pykdtree        1.4.1*
#
# R packages:
# RANN            2.6.2*
# nabor           0.5.0*
# dbscan          1.2.2*
# mlpack          4.6.2*
# reticulate     1.42.0*
#
# Other:
# pico_tree       1.0.0*
#
# * - compiled with -O3 -march=native
#
"method","user.self","sys.self","elapsed","Δdist","Σdist","Δidx","n","d","k","nthreads","time","host"
"py_pykdtree",2.264,0,2.264,0,28894.6508200247,0,1208592,3,1,1,1750795154,"apollo"
"py_sklearn_kdtree",5.299,0.001,5.303,0,28894.6508200247,0,1208592,3,1,1,1750795154,"apollo"
"r_dbscan",4.183,0.001,4.183,0,28894.6508200247,0,1208592,3,1,1,1750795154,"apollo"
"r_mlpack_kdtree_single",1.494,0.012,1.506,0,28894.6508200247,0,1208592,3,1,1,1750795154,"apollo"
"r_mlpack_kdtree_dual",1.45,0.00700000000000001,1.456,0,28894.6508200247,0,1208592,3,1,1,1750795154,"apollo"
"r_nabor",2.093,0.016,2.108,0,28894.6508200247,0,1208592,3,1,1,1750795154,"apollo"
"r_rann_kdtree",4.282,0.028,4.309,0,28894.6508200247,0,1208592,3,1,1,1750795154,"apollo"
"r_genieclust_kdtree",0.57,0,0.568999999999996,0,28894.6508200247,0,1208592,3,1,1,1750795179,"apollo"
"pico_tree",1.874,0,1.873,0,28894.6508200247,0,1208592,3,1,1,1750795179,"apollo"
"py_genieclust_kdtree",0.587999999999994,0,0.586999999999996,0,28894.6508200247,0,1208592,3,1,1,1750795179,"apollo"
"py_pykdtree",2.27,0.001,2.27,0,28894.6508200247,0,1208592,3,1,1,1750795179,"apollo"
"py_sklearn_kdtree",5.304,0,5.303,0,28894.6508200247,0,1208592,3,1,1,1750795179,"apollo"
"r_dbscan",4.17400000000001,0,4.173,0,28894.6508200247,0,1208592,3,1,1,1750795179,"apollo"
"r_mlpack_kdtree_single",1.503,0,1.503,0,28894.6508200247,0,1208592,3,1,1,1750795179,"apollo"
"r_mlpack_kdtree_dual",1.447,0.012,1.459,0,28894.6508200247,0,1208592,3,1,1,1750795179,"apollo"
"r_nabor",2.10299999999999,0.011,2.114,0,28894.6508200247,0,1208592,3,1,1,1750795179,"apollo"
"r_rann_kdtree",4.298,0.032,4.33,0,28894.6508200247,0,1208592,3,1,1,1750795179,"apollo"
"r_genieclust_kdtree",1.538,0.001,1.538,0,533296.876458416,0,1208592,3,10,1,1750795237,"apollo"
"pico_tree",4.23999999999999,0.016,4.254,0,533296.876458416,0,1208592,3,10,1,1750795237,"apollo"
"py_genieclust_kdtree",1.72499999999999,0.041,1.765,0,533296.876458416,0,1208592,3,10,1,1750795237,"apollo"
"py_pykdtree",5.711,0.039,5.748,0,533296.876458416,0,1208592,3,10,1,1750795237,"apollo"
"py_sklearn_kdtree",10.695,0.061,10.755,0,533296.876458416,0,1208592,3,10,1,1750795237,"apollo"
"r_dbscan",9.36200000000001,0.017,9.378,0,533296.876458416,0,1208592,3,10,1,1750795237,"apollo"
"r_mlpack_kdtree_single",3.79300000000001,0.084,3.87700000000001,0,533296.876458416,0,1208592,3,10,1,1750795237,"apollo"
"r_mlpack_kdtree_dual",3.501,0.111,3.61199999999999,0,533296.876458416,0,1208592,3,10,1,1750795237,"apollo"
"r_nabor",5.11199999999999,0.051,5.16199999999999,0,533296.876458416,0,1208592,3,10,1,1750795237,"apollo"
"r_rann_kdtree",10.894,0.0639999999999999,10.957,0,533296.876458416,0,1208592,3,10,1,1750795237,"apollo"
"r_genieclust_kdtree",1.57599999999999,0.024,1.59999999999999,0,533296.876458416,0,1208592,3,10,1,1750795299,"apollo"
"pico_tree",4.25199999999998,0.0329999999999999,4.285,0,533296.876458416,0,1208592,3,10,1,1750795299,"apollo"
"py_genieclust_kdtree",1.66200000000001,0.069,1.73099999999999,0,533296.876458416,0,1208592,3,10,1,1750795299,"apollo"
"py_pykdtree",6.636,0.0760000000000001,6.71200000000002,0,533296.876458416,0,1208592,3,10,1,1750795299,"apollo"
"py_sklearn_kdtree",11.941,0.12,12.06,0,533296.876458416,0,1208592,3,10,1,1750795299,"apollo"
"r_dbscan",10.737,0.0250000000000001,10.763,0,533296.876458416,0,1208592,3,10,1,1750795299,"apollo"
"r_mlpack_kdtree_single",3.84999999999999,0.118,3.96800000000002,0,533296.876458416,0,1208592,3,10,1,1750795299,"apollo"
"r_mlpack_kdtree_dual",3.572,0.122,3.69400000000002,0,533296.876458416,0,1208592,3,10,1,1750795299,"apollo"
"r_nabor",5.01900000000001,0.0529999999999999,5.07400000000001,0,533296.876458416,0,1208592,3,10,1,1750795299,"apollo"
"r_rann_kdtree",10.767,0.0660000000000001,10.832,0,533296.876458416,0,1208592,3,10,1,1750795299,"apollo"
"r_genieclust_kdtree",1.548,0.026,1.57499999999999,0,533296.876458416,0,1208592,3,10,1,1750795358,"apollo"
"pico_tree",4.178,0.0309999999999999,4.208,0,533296.876458416,0,1208592,3,10,1,1750795358,"apollo"
"py_genieclust_kdtree",1.65899999999999,0.0590000000000002,1.71799999999999,0,533296.876458416,0,1208592,3,10,1,1750795358,"apollo"
